Numéro pdc;Numéro station;n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
1;23;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*23*_*_*_;Le Tignet Parking Mairie;Avenue de l'Hotel de Ville;06140;6.842196;43.629399;2;FR*A16*E*WIIZ*23*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;23;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*23*_*_*_;Le Tignet Parking Mairie;Avenue de l'Hotel de Ville;06140;6.842196;43.629399;2;FR*A16*E*WIIZ*23*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;25;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*25*_*_*_;Spéracèdes Parking Mairie;Boulevard Dr Sauvy;06137;6.856883;43.648015;2;FR*A16*E*WIIZ*25*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;25;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*25*_*_*_;Spéracèdes Parking Mairie;Boulevard Dr Sauvy;06137;6.856883;43.648015;2;FR*A16*E*WIIZ*25*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;28;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*28*_*_*_;Escragnolles Parking Salle des Fêtes;Chemin de la Colette ;06058;6.793374;43.728944;2;FR*A16*E*WIIZ*28*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;28;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*28*_*_*_;Escragnolles Parking Salle des Fêtes;Chemin de la Colette ;06058;6.793374;43.728944;2;FR*A16*E*WIIZ*28*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;29;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*29*_*_*_;Le Mas Parking couvert;Route de Saint Auban;06081;6.858089;43.843213;2;FR*A16*E*WIIZ*29*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
2;29;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*29*_*_*_;Le Mas Parking couvert;Route de Saint Auban;06081;6.858089;43.843213;2;FR*A16*E*WIIZ*29*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
1;30;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*30*_*_*_;Saint-Auban Parking Relais de Services publics;Avenue des Hotels;06116;6.728566;43.846940;2;FR*A16*E*WIIZ*30*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;30;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*30*_*_*_;Saint-Auban Parking Relais de Services publics;Avenue des Hotels;06116;6.728566;43.846940;2;FR*A16*E*WIIZ*30*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;31;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*31*_*_*_;Séranon Parking Place Joseph Rebuffel;Place Joseph Rebuffel;06134;6.703947;43.773845;2;FR*A16*E*WIIZ*31*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;31;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*31*_*_*_;Séranon Parking Place Joseph Rebuffel;Place Joseph Rebuffel;06134;6.703947;43.773845;2;FR*A16*E*WIIZ*31*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;34;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*34*_*_*_;Andon Lac de Thorenc;Route de Castellane;06003;6.807771;43.799505;2;FR*A16*E*WIIZ*34*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;34;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*34*_*_*_;Andon Lac de Thorenc;Route de Castellane;06003;6.807771;43.799505;2;FR*A16*E*WIIZ*34*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;35;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*35*_*_*_;Caille Parking de la Moulière;Rue des Ecuries;06028;6.731209;43.779028;2;FR*A16*E*WIIZ*35*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
2;35;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*35*_*_*_;Caille Parking de la Moulière;Rue des Ecuries;06028;6.731209;43.779028;2;FR*A16*E*WIIZ*35*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
1;60;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*60*_*_*_;Grasse Parking Gare SNCF;Avenue Pierre Semard;06069;6.926369;43.654063;2;FR*A16*E*WIIZ*60*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;60;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*60*_*_*_;Grasse Parking Gare SNCF;Avenue Pierre Semard;06069;6.926369;43.654063;2;FR*A16*E*WIIZ*60*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;61;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*61*_*_*_;Grasse Parking Square des Diables Bleus;Traverse Kellermann;06069;6.922960;43.651211;2;FR*A16*E*WIIZ*61*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;61;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*61*_*_*_;Grasse Parking Square des Diables Bleus;Traverse Kellermann;06069;6.922960;43.651211;2;FR*A16*E*WIIZ*61*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;62;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*62*_*_*_;Grasse Parking Giratoire du Moulin de Brun;Rond-point du Moulin de Brun;06069;6.944208;43.654076;2;FR*A16*E*WIIZ*62*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;62;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*62*_*_*_;Grasse Parking Giratoire du Moulin de Brun;Rond-point du Moulin de Brun;06069;6.944208;43.654076;2;FR*A16*E*WIIZ*62*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
